player_id,player_name,team,fga_rim,fgm_rim,fga_paint_non_ra,fgm_paint_non_ra,fga_midrange,fgm_midrange,fga_corner3,fgm_corner3,fga_above_break3,fgm_above_break3,total_fga,total_fgm,assisted_fgm,unassisted_fgm,ppg,rpg,apg
203926,Doug McDermott,SAC,4,2,9,3,3,1,23.0,16.0,100,32,139.0,54.0,52.0,2.0,5.7,1.3,0.8
1642962,Drake Powell,BKN,80,55,55,18,41,20,51.0,17.0,131,34,358.0,144.0,87.0,57.0,6.5,1.8,1.4
203110,Draymond Green,GSW,120,84,46,16,15,4,108.0,42.0,202,59,491.0,205.0,187.0,18.0,8.4,5.5,5.5
1629234,Drew Eubanks,SAC,63,49,76,41,10,2,5.0,1.0,2,0,156.0,93.0,77.0,16.0,5.2,3.0,0.5
1641809,Drew Peterson,CHA,3,2,1,0,0,0,5.0,0.0,7,0,16.0,2.0,1.0,1.0,0.8,1.5,0.3
1631166,Drew Timme,LAL,16,11,17,12,8,4,9.0,5.0,16,6,66.0,38.0,29.0,9.0,3.4,1.2,0.9
1630696,Dru Smith,MIA,96,57,88,33,12,7,50.0,15.0,79,23,325.0,135.0,80.0,55.0,5.6,2.5,2.6
1629130,Duncan Robinson,DET,73,52,71,39,18,7,149.0,58.0,387,162,698.0,318.0,288.0,30.0,12.2,2.7,2.1
1641871,Duop Reath,POR,14,9,5,1,0,0,22.0,10.0,33,13,74.0,33.0,29.0,4.0,2.9,1.2,0.3
203939,Dwight Powell,DAL,85,59,8,3,1,1,5.0,2.0,2,0,101.0,65.0,53.0,12.0,3.3,4.1,1.1
1642928,Dylan Cardwell,SAC,94,72,71,27,10,4,3.0,1.0,1,1,179.0,105.0,76.0,29.0,5.4,7.5,1.4
1642844,Dylan Harper,SAS,299,190,114,51,65,29,41.0,17.0,136,44,655.0,331.0,148.0,183.0,11.8,3.4,3.9
1630700,Dyson Daniels,ATL,375,254,268,119,17,7,40.0,8.0,77,14,777.0,402.0,240.0,162.0,11.9,6.8,5.9
1630604,E.J. Liddell,BKN,23,18,30,15,6,3,21.0,9.0,31,9,111.0,54.0,36.0,18.0,5.7,2.7,0.9
1642856,Egor Dëmin,BKN,60,33,36,14,31,8,52.0,24.0,270,100,449.0,179.0,130.0,49.0,10.3,3.2,3.3
1641989,Elijah Harkless,UTA,43,23,19,7,11,3,30.0,9.0,58,12,161.0,54.0,34.0,20.0,6.8,2.0,2.9
1641801,Emanuel Miller,SAS,3,1,3,2,1,1,2.0,2.0,4,0,13.0,6.0,6.0,0.0,3.0,0.6,0.8
1642402,Enrique Freeman,MIN,2,1,1,0,1,1,3.0,2.0,1,0,8.0,4.0,4.0,0.0,3.3,2.5,0.5
201569,Eric Gordon,PHI,6,4,1,0,0,0,2.0,2.0,12,6,21.0,12.0,11.0,1.0,5.5,0.3,0.5
1630679,Ethan Thompson,IND,33,20,27,11,20,5,48.0,16.0,68,22,196.0,74.0,61.0,13.0,7.0,2.2,1.8
1630596,Evan Mobley,CLE,397,294,203,91,49,22,32.0,6.0,177,56,858.0,469.0,321.0,148.0,18.2,9.0,3.6
1630532,Franz Wagner,ORL,177,115,148,66,43,15,24.0,10.0,115,38,507.0,244.0,138.0,106.0,20.6,5.2,3.3
1641713,GG Jackson,MEM,200,140,106,46,15,5,59.0,26.0,133,37,513.0,254.0,165.0,89.0,12.5,4.3,1.5
1629216,Gabe Vincent,ATL,13,9,17,4,13,4,47.0,19.0,126,40,216.0,76.0,56.0,20.0,4.4,1.0,1.4
