player_id,player_name,team,fga_rim,fgm_rim,fga_paint_non_ra,fgm_paint_non_ra,fga_midrange,fgm_midrange,fga_corner3,fgm_corner3,fga_above_break3,fgm_above_break3,total_fga,assisted_fgm,unassisted_fgm,ppg,rpg,apg
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,3.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,1.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,3.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,2.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,7.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,1.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,12.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,11.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,2.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,6.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,1.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,3.0,0.0,10.2,6.7,1.2
1630188,Jalen Smith,CHI,149,99,25,11,9,3,56.0,21.0,165,61,404.0,2.0,0.0,10.2,6.7,1.2
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,32.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,59.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,34.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,15.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,10.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,6.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,2.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,4.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,13.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,4.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,53.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,40.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,1.0,0.0,13.8,3.9,5.5
1630591,Jalen Suggs,ORL,125,81,95,45,69,34,75.0,27.0,285,95,649.0,39.0,0.0,13.8,3.9,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,7.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,10.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,5.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,1.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,16.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,49.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,18.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,14.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,2.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,2.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,7.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,29.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,2.0,0.0,17.1,4.6,5.5
1631114,Jalen Williams,OKC,158,106,136,59,75,28,13.0,4.0,64,19,446.0,19.0,0.0,17.1,4.6,5.5
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,4.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,3.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,1.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,3.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,3.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,3.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,4.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,3.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,1.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,4.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,1.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,4.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,3.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,4.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,1.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,1.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,5.0,0.0,6.4,2.1,0.9
1630592,Jalen Wilson,BKN,58,32,58,19,10,5,44.0,17.0,108,37,278.0,2.0,0.0,6.4,2.1,0.9
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,1.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,5.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,2.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,3.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,3.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,2.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,2.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,2.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,1.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,2.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,4.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,1.0,0.0,5.4,2.0,0.7
1631288,Jamal Cain,ORL,41,27,25,13,13,6,40.0,15.0,33,13,152.0,1.0,0.0,5.4,2.0,0.7
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,38.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,29.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,33.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,34.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,5.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,15.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,42.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,18.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,170.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,54.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,34.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,53.0,0.0,25.4,4.4,7.1
1627750,Jamal Murray,DEN,232,150,299,141,266,121,64.0,34.0,496,208,1357.0,10.0,0.0,25.4,4.4,7.1
1642347,Jamal Shead,TOR,95,54,122,42,25,5,51.0,14.0,211,70,504.0,9.0,0.0,6.6,1.7,5.4
1642347,Jamal Shead,TOR,95,54,122,42,25,5,51.0,14.0,211,70,504.0,1.0,0.0,6.6,1.7,5.4
1642347,Jamal Shead,TOR,95,54,122,42,25,5,51.0,14.0,211,70,504.0,74.0,0.0,6.6,1.7,5.4
1642347,Jamal Shead,TOR,95,54,122,42,25,5,51.0,14.0,211,70,504.0,42.0,0.0,6.6,1.7,5.4
1642347,Jamal Shead,TOR,95,54,122,42,25,5,51.0,14.0,211,70,504.0,26.0,0.0,6.6,1.7,5.4
1642347,Jamal Shead,TOR,95,54,122,42,25,5,51.0,14.0,211,70,504.0,25.0,0.0,6.6,1.7,5.4
